DATE,TXBPPRIV
2014-07-01,14717
2014-08-01,15316
2014-09-01,13610
2014-10-01,13597
2014-11-01,10456
2014-12-01,15468
2015-01-01,11515
2015-02-01,14075
2015-03-01,14027
2015-04-01,15352
2015-05-01,12351
2015-06-01,17580
2015-07-01,15556
2015-08-01,14814
2015-09-01,13189
2015-10-01,14789
2015-11-01,13240
2015-12-01,14515
2016-01-01,11879
2016-02-01,12591
2016-03-01,14376
2016-04-01,12426
2016-05-01,14641
2016-06-01,15477
2016-07-01,13977
2016-08-01,14614
2016-09-01,13805
2016-10-01,12128
2016-11-01,12680
2016-12-01,11678
2017-01-01,15236
2017-02-01,13247
2017-03-01,16550
2017-04-01,13677
2017-05-01,15578
2017-06-01,17188
2017-07-01,12493
2017-08-01,15857
2017-09-01,12233
2017-10-01,15098
2017-11-01,13140
2017-12-01,11348
2018-01-01,15207
2018-02-01,12204
2018-03-01,15486
2018-04-01,19795.0
2018-05-01,16526.0
2018-06-01,19086.0
2018-07-01,16171.0
2018-08-01,15564.0
2018-09-01,13362.0
2018-10-01,13241.0
2018-11-01,15265.0
2018-12-01,14984.0
2019-01-01,14258.0
2019-02-01,14511.0
2019-03-01,15852.0
2019-04-01,15895.0
2019-05-01,19081.0
2019-06-01,15176.0
2019-07-01,17515.0
2019-08-01,19405.0
2019-09-01,16452.0
2019-10-01,19861.0
2019-11-01,16880.0
2019-12-01,14714.0
2020-01-01,17885.0
2020-02-01,16275.0
2020-03-01,19293.0
2020-04-01,16518.0
2020-05-01,15919.0
2020-06-01,17601.0
2020-07-01,20183.0
2020-08-01,18613.0
2020-09-01,21319.0
2020-10-01,19374.0
2020-11-01,17953.0
2020-12-01,20635.0
2021-01-01,22260.0
2021-02-01,18184.0
2021-03-01,23649.0
2021-04-01,24127.0
2021-05-01,21683.0
2021-06-01,23679.0
2021-07-01,20762.0
2021-08-01,23304.0
2021-09-01,18003.0
2021-10-01,18064.0
2021-11-01,18004.0
2021-12-01,20891.0
2022-01-01,23155.0
2022-02-01,20417.0
2022-03-01,26723.0
2022-04-01,25518.0
2022-05-01,22918.0
2022-06-01,26082.0
2022-07-01,23914.0
2022-08-01,20950.0
2022-09-01,19444.0
2022-10-01,21363.0
2022-11-01,15117.0
2022-12-01,15629.0
2023-01-01,16847.0
2023-02-01,17363.0
2023-03-01,18896.0
2023-04-01,17346.0
2023-05-01,21978.0
2023-06-01,20444.0
2023-07-01,18897.0
2023-08-01,21723.0
2023-09-01,17073.0
